iso_code,Country ,WHO Region,Continents,WorldPop,Case,Death,WPPM,CasePM,DeathPM,CFR,CFR100,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain
,Guyana,WHO Region of the Americas,South America,813834,31238,5,0.813834,38383.74902,6.143759047,0.00016006,0.016006,27.022,4.198,20.2,11.7,10.086637,40,28.29,1433.35
NIC,Nicaragua,WHO Region of the Americas,North America,7046310,55542,1,7.04631,7882.423566,0.141918252,0.000018,0.0018,59.556,56.703,23.7,9.3,8.222568,36,26.7,2112.21
ALB,Albania,WHO European Region,Europe,2832439,0,0,2.832439,0,0,,,63.799,102.623,21.7,10.2,24.446985,42,16.32,1033.22
DZA,Algeria,WHO Region of Africa,Africa,45606480,0,0,45.60648,0,0,,,74.772,19.383,27.4,7.1,10.1232195,36,26.14,4.49
,American Samoa,,Oceania,43914,0,0,0.043914,0,0,,,87.196,237.605,,20.3,11.641994,,27.74,943.28
,Andorra,WHO European Region,Europe,80088,0,0,0.080088,0,0,,,87.811,172.034,25.6,9.7,21.30046,31,7.65,1183.46
AGO,Angola,WHO Region of Africa,Africa,36684202,79,0,36.684202,2.153515565,0,,,68.081,29.478,8.2,4.6,5.342691,39,29.1,771.33
,Anguilla,WHO Region of the Americas,North America,15899,0,0,0.015899,0,0,,,,163.75,,,17.280926,,28.36,946.2
,Antarctica,,Antarctica,,0,0,0,0,0,,,,,,,,,-11.96,298.42
,Antigua,WHO Region of the Americas,North America,94298,151,0,0.094298,1601.306496,0,,,24.346,212.081,18.9,11.7,15.924902,43,28.46,946.2
,Antilles,WHO Region of the Americas,North America,,0,0,0,0,0,,,,,,,,,,
ARM,Armenia,WHO European Region,Asia,2777970,0,0,2.77797,0,0,,,63.573,103.408,20.2,5.6,19.643763,47,7.76,923.09
,Aruba,WHO Region of the Americas,South America,106277,81,0,0.106277,762.1592631,0,,,44.052,599.658,,,24.64063,,28.61,671.54
,Ascension Island,WHO Region of the Americas,South America,,0,0,0,0,0,,,,,,,,,,
AUS,Australia,WHO Western Pacific Region,Oceania,26439111,1987,0,26.439111,75.15381285,0,,,86.488,,20.1,6.4,26.8831,29,22.96,296.66
AUT,Austria,WHO European Region,Europe,8958960,0,0,8.95896,0,0,,,59.256,3.443,29,4.6,30.73231,34,7.03,1455.62
AZE,Azerbaijan,WHO European Region,Asia,10412651,0,0,10.412651,0,0,,,57.17,110.646,19.9,5.6,11.501091,41,17.05,645.85
,Azores,WHO Region of the Americas,North America,,0,0,0,0,0,,,,124.83,,,,,,
,Bahamas,WHO Region of the Americas,North America,412623,1,0,0.412623,2.423519775,0,,,83.492,74.55,31.6,8.8,16.354866,45,26.6,902.25
BHR,Bahrain,WHO Eastern Mediterranean Region,Asia,1485509,0,0,1.485509,0,0,,,89.743,2004.681,29.8,11.3,4.700133,39,28.17,104.63
,Barbados,WHO Region of the Americas,North America,281995,2395,0,0.281995,8493.058388,0,,,31.324,656.595,23.1,14,24.22919,42,,
,Barbuda,WHO Region of the Americas,North America,,0,0,0,0,0,,,,,,,,,,
