iso_code,Country ,WHO Region,Continents,WorldPop,Case,Death,WPPM,CasePM,DeathPM,CFR,CFR100,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain
,Saint Kitts,WHO Region of the Americas,North America,47755,240,0,0.047755,5025.651764,0,,,30.991,179.838,22.9,16.1,15.086155,45,28.35,908.5
,Saint Lucia,WHO Region of the Americas,North America,180251,395,0,0.180251,2191.388675,0,,,19.05,291.046,19.7,11.7,12.769281,40,28.82,586.35
,Saint Martin,WHO Region of the Americas,North America,32077,606,0,0.032077,18892.04103,0,,,,519.142,,,27.882463,,,
,Saint Pierre and Miquelon,WHO Region of the Americas,North America,5840,0,0,0.00584,0,0,,,,24.702,,,30.146471,,,
,Saint Vincent,WHO Region of the Americas,North America,103698,262,0,0.103698,2526.567533,0,,,53.875,259.801,23.7,8,17.313631,39,28.63,620.68
,Samoa,WHO Western Pacific Region,Oceania,225681,473,0,0.225681,2095.878696,0,,,17.616,76.559,,9.2,10.269359,38,28.2,2051.98
,San Marino,WHO European Region,Europe,33642,0,0,0.033642,0,0,,,97.732,552.992,,7.4,33.05039,,16.25,2.16
,Sao Tome and Principe,WHO Region of Africa,Africa,231856,32,0,0.231856,138.0167,0,,,75.755,240.491,12.4,5.5,6.688728,45,16.25,789.76
SAU,Saudi Arabia,WHO Eastern Mediterranean Region,Asia,36947025,8193,0,36.947025,221.7499244,0,,,84.729,15.474,35.4,18.7,3.856921,34,25.66,116.36
SEN,Senegal,WHO Region of Africa,Africa,17763163,708,0,17.763163,39.85776632,0,,,49.086,93.895,8.8,3.1,6.213864,41,30.16,522.41
SRB,Serbia,WHO European Region,Europe,7149077,0,0,7.149077,0,0,,,56.873,88.266,21.5,9.1,35.26065,46,13.81,717.35
,Seychelles,WHO Region of Africa,Africa,107660,2583,0,0.10766,23992.19766,0,,,58.396,279.979,14,8.5,11.645998,44,27.96,1934.74
,Siachen Glacier,,Asia,,0,0,0,0,0,,,,,,,,,,
SLE,Sierra Leone,WHO Region of Africa,Africa,8791092,0,0,8.791092,0,0,,,43.831,117.933,8.7,2.1,5.503796,41,26.54,2977.04
SGP,Singapore,WHO Western Pacific Region,Asia,6014723,12798,0,6.014723,2127.778785,0,,,100,8475.973,6.1,11.6,17.407629,32,27.83,5091.99
,Sint Eustatius,WHO Region of the Americas,North America,,207,0,0,0,0,,,,,,,,,,
,Sint Maarten,WHO Region of the Americas,North America,44222,140,0,0.044222,3165.845054,0,,,100,1257.324,,,18.96512,,,
SVK,Slovakia,WHO European Region,Europe,5795199,0,0,5.795199,0,0,,,53.909,112.538,20.5,5.8,27.32183,43,10.04,1.97
SVN,Slovenia,WHO European Region,Europe,2119675,0,0,2.119675,0,0,,,55.751,105.194,20.2,5.8,33.431168,45,11.28,1346.3
,Solomon Islands,WHO Western Pacific Region,Oceania,740424,125,0,0.740424,168.8221884,0,,,25.584,27.782,,19.8,6.1454644,30,26.86,2909.75
SOM,Somalia,WHO Eastern Mediterranean Region,Africa,18143378,0,0,18.143378,0,0,,,47.324,29.264,8.3,6.5,5.0525584,36,28.38,509.51
ZAF,South Africa,WHO Region of Africa,Africa,60414495,0,0,60.414495,0,0,,,68.335,51.779,28.3,10.8,9.6532955,44,18.81,405.91
,South Georgia,,Antarctica,,0,0,0,0,0,,,,,,,,,,
KOR,South Korea,WHO Western Pacific Region,Asia,51784059,0,0,51.784059,0,0,,,81.427,523.016,4.7,6.8,25.912172,27,13.09,1471.95
,South Sandwich Islands,,Antarctica,,0,0,0,0,0,,,,,,,,,,
SS,South Sudan,WHO Region of Africa,Africa,11088796,0,0,11.088796,0,0,,,20.846,20.355,8.6,6.5,5.0881314,34,29.23,1153.82
ESP,Spain,WHO European Region,Europe,47519628,10,0,47.519628,0.210439358,0,,,81.304,95.374,23.8,10.3,31.20693,27,12.14,587.5
LKA,Sri Lanka,WHO South-East Asia Region,Asia,21893579,33236,0,21.893579,1518.070664,0,,,19.026,366.344,5.2,11.3,17.809431,36,25.82,1603.53
,Swaziland,,Africa,,0,0,0,0,0,,,,,16.5,,,,,
SWE,Sweden,WHO European Region,Europe,10612086,0,0,10.612086,0,0,,,,25.903,20.6,5,32.96824,30,1.25,991.4
CHE,Switzerland,WHO European Region,Europe,8796669,0,0,8.796669,0,0,,,74.092,221.808,15.6,4.6,29.963114,22,9.09,4.56
SYR,Syria,WHO Eastern Mediterranean Region,Asia,23227014,0,0,23.227014,0,0,,,56.769,128.434,,14.9,7.2126393,41,18.75,245.5
TWN,Taiwan,WHO Western Pacific Region,Asia,23923276,0,0,23.923276,0,0,,,,658.49,,,26.247805,,,
,Tajikistan,WHO European Region,Asia,10143543,0,0,10.143543,0,0,,,27.968,72.605,14.2,6.6,6.099094,47,-0.62,587.5
TZA,Tanzania,WHO Region of Africa,Africa,67438106,0,0,67.438106,0,0,,,36.682,75.206,8.4,12.3,5.608926,33,22.83,1025.78
,Timor-Leste,WHO South-East Asia Region,Asia,1360596,0,0,1.360596,0,0,,,,,3.8,,,35,23.48,1334.48
,Tobago,WHO Region of the Americas,South America,1534937,0,0,1.534937,0,0,,,,,,,,,,
TGO,Togo,WHO Region of Africa,Africa,9053799,0,0,9.053799,0,0,,,43.921,171.067,8.4,2.1,5.555062,36,26.24,1273.66
TKL,Tokelau,,Oceania,1849,4,0,0.001849,2163.331531,0,,,,199.792,,,12.073325,,,
,Tonga,WHO Western Pacific Region,Oceania,107773,14,0,0.107773,129.9026658,0,,,23.125,160.919,,15,11.436135,43,25.22,1691.25
TUN,Tunisia,WHO Eastern Mediterranean Region,Africa,12458223,0,0,12.458223,0,0,,,70.214,78.495,26.9,9.6,13.803305,35,22.04,106.41
TUR,Turkey,WHO European Region,Asia,85816199,0,0,85.816199,0,0,,,77.022,113.397,32.1,14.5,14.669032,33,12.2,459.34
,Turkmenistan,WHO European Region,Asia,6516100,0,0,6.5161,0,0,,,53.494,15.671,,6.7,6.6692004,39,16.52,115.93
,Turks and Caicos Islands,WHO Region of the Americas,North America,46062,117,0,0.046062,2540.054709,0,,,94.047,48.629,,,14.966451,,,
,Tuvalu,WHO Western Pacific Region,Oceania,11396,1,0,0.011396,87.75008775,0,,,65.527,327.183,,20.3,10.399335,50,29.2,2847.33
,Uganda,WHO Region of Africa,Africa,48582334,0,0,48.582334,0,0,,,26.159,243.518,5.3,4.6,3.9850087,33,24.69,3.3
GBR,UK,WHO European Region,Europe,67736802,0,0,67.736802,0,0,,,84.398,282.948,27.8,6.3,30.326279,26,8.98,1051.97
UKR,Ukraine,WHO European Region,Europe,36744634,0,0,36.744634,0,0,,,69.919,65.133,24.1,5.6,27.596714,43,10.7,594.72
ARE,United Arab Emirates,WHO Eastern Mediterranean Region,Asia,9516871,0,0,9.516871,0,0,,,87.543,149.838,31.7,16.4,2.0686865,41,29.4,194.36
USA,USA,WHO Region of the Americas,North America,339996563,2436,0,339.996563,7.16477831,0,,,83.084,37.548,36.2,12.4,26.799246,32,-10.03,641.18
UZB,Uzbekistan,WHO European Region,Asia,35163944,0,0,35.163944,0,0,,,50.466,83.809,16.6,7,8.977121,46,14.25,211.66
,Vanuatu,WHO Western Pacific Region,Oceania,334506,138,0,0.334506,412.5486538,0,,,25.816,26.285,,15.6,7.3786154,40,26.7,5.76
VEN,Venezuela,WHO Region of the Americas,South America,28838499,0,0,28.838499,0,0,,,88.378,30.881,25.6,9.6,14.46761,39,27.15,2089.96
,Virgin Islands,WHO Region of the Americas,North America,98750,185,0,0.09875,1873.417722,0,,,,81.218,,,,,,
,Wallis and Futuna,,Oceania,11502,78,0,0.011502,6781.429317,0,,,,2.179,,,21.76215,,,
,Western Sahara,,Africa,587259,0,0,0.587259,0,0,,,,62.052,,,9.015337,,,
,Yemen,WHO Eastern Mediterranean Region,Asia,34449825,0,0,34.449825,0,0,,,39.188,74.608,17.1,5.4,4.4565034,29,28.08,61.74
ZMB,Zambia,WHO Region of Africa,Africa,20569737,0,0,20.569737,0,0,,,45.761,27.878,,11.9,3.381735,32,22.01,2.48
ZWE,Zimbabwe,WHO Region of Africa,Africa,16665409,0,0,16.665409,0,0,,,32.395,42.241,15.5,2.1,6.5704026,42,21.77,440.78
