date,date_lab,Year,Month,who_region,who_region_long,country,Hemisphere,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper
10/1/2024,24-Oct,2024,October,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,1197,112,0,2,0.001670844,0,0.000202411,0.006022504,0,0.003077027
9/1/2024,24-Sep,2024,September,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,450,73,0,0,0,0,0,0.008164002,0,0.008164002
8/1/2024,24-Aug,2024,August,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,551,109,0,0,0,0,0,0.00667252,0,0.00667252
7/1/2024,24-Jul,2024,July,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,314,34,0,0,0,0,0,0.011679285,0,0.011679285
6/1/2024,24-Jun,2024,June,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,145,28,0,0,0,0,0,0.025119664,0,0.025119664
5/1/2024,24-May,2024,May,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,241,22,0,0,0,0,0,0.015190004,0,0.015190004
4/1/2024,24-Apr,2024,April,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,89,1,0,0,0,0,0,0.040600858,0,0.040600858
3/1/2024,24-Mar,2024,March,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,157,11,0,0,0,0,0,0.023222165,0,0.023222165
2/1/2024,24-Feb,2024,February,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,196,44,0,0,0,0,0,0.018644808,0,0.018644808
1/1/2024,24-Jan,2024,January,EMR,Eastern Mediterranean Region,Afghanistan,Northern,AFG,260,60,0,0,0,0,0,0.014087823,0,0.014087823
11/1/2024,Nov-24,2024,November,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
10/1/2024,24-Oct,2024,October,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
9/1/2024,24-Sep,2024,September,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
8/1/2024,24-Aug,2024,August,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
7/1/2024,24-Jul,2024,July,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
6/1/2024,24-Jun,2024,June,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
5/1/2024,24-May,2024,May,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
4/1/2024,24-Apr,2024,April,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
3/1/2024,24-Mar,2024,March,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
2/1/2024,24-Feb,2024,February,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
1/1/2024,24-Jan,2024,January,EUR,European Region,Albania,Northern,ALB,0,,,,,,,,,
11/1/2024,Nov-24,2024,November,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
10/1/2024,24-Oct,2024,October,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
9/1/2024,24-Sep,2024,September,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
8/1/2024,24-Aug,2024,August,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
7/1/2024,24-Jul,2024,July,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
6/1/2024,24-Jun,2024,June,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
5/1/2024,24-May,2024,May,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
4/1/2024,24-Apr,2024,April,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
3/1/2024,24-Mar,2024,March,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
2/1/2024,24-Feb,2024,February,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
1/1/2024,24-Jan,2024,January,EUR,European Region,Andorra,Northern,AND,0,,,,,,,,,
12/1/2023,23-Dec,2023,December,AMR,Region of the Americas,Anguilla,Northern,AIA,1,1,0,0,0,0,0,0.975,0,0.975
11/1/2023,23-Nov,2023,November,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
10/1/2023,23-Oct,2023,October,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
9/1/2023,23-Sep,2023,September,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
8/1/2023,23-Aug,2023,August,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
7/1/2023,23-Jul,2023,July,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
6/1/2023,23-Jun,2023,June,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
5/1/2023,23-May,2023,May,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
4/1/2023,23-Apr,2023,April,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
3/1/2023,23-Mar,2023,March,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
2/1/2023,23-Feb,2023,February,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
1/1/2023,23-Jan,2023,January,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
12/1/2022,22-Dec,2022,December,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
11/1/2022,22-Nov,2022,November,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
10/1/2022,22-Oct,2022,October,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
9/1/2022,22-Sep,2022,September,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
8/1/2022,22-Aug,2022,August,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
7/1/2022,22-Jul,2022,July,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
6/1/2022,22-Jun,2022,June,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
5/1/2022,22-May,2022,May,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
4/1/2022,22-Apr,2022,April,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
3/1/2022,22-Mar,2022,March,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
2/1/2022,22-Feb,2022,February,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
1/1/2022,22-Jan,2022,January,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
12/1/2021,21-Dec,2021,December,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
11/1/2021,21-Nov,2021,November,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
10/1/2021,21-Oct,2021,October,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
9/1/2021,21-Sep,2021,September,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
8/1/2021,21-Aug,2021,August,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
7/1/2021,21-Jul,2021,July,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
6/1/2021,21-Jun,2021,June,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
5/1/2021,21-May,2021,May,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
4/1/2021,21-Apr,2021,April,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
3/1/2021,21-Mar,2021,March,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
2/1/2021,21-Feb,2021,February,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
1/1/2021,21-Jan,2021,January,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
12/1/2020,20-Dec,2020,December,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
11/1/2020,20-Nov,2020,November,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
10/1/2020,20-Oct,2020,October,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
9/1/2020,20-Sep,2020,September,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
8/1/2020,20-Aug,2020,August,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
7/1/2020,20-Jul,2020,July,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
6/1/2020,20-Jun,2020,June,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
5/1/2020,20-May,2020,May,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
4/1/2020,20-Apr,2020,April,AMR,Region of the Americas,Anguilla,Northern,AIA,0,1,0,0,,,0,1,0,1
3/1/2020,20-Mar,2020,March,AMR,Region of the Americas,Anguilla,Northern,AIA,1,-1,0,0,0,0,0,0.975,0,0.975
2/1/2020,20-Feb,2020,February,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
1/1/2020,20-Jan,2020,January,AMR,Region of the Americas,Anguilla,Northern,AIA,5,2,0,0,0,0,0,0.52182375,0,0.52182375
12/1/2019,19-Dec,2019,December,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
11/1/2019,19-Nov,2019,November,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
10/1/2019,19-Oct,2019,October,AMR,Region of the Americas,Anguilla,Northern,AIA,4,2,0,0,0,0,0,0.602364636,0,0.602364636
9/1/2019,19-Sep,2019,September,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
8/1/2019,19-Aug,2019,August,AMR,Region of the Americas,Anguilla,Northern,AIA,2,0,0,0,0,0,0,0.841886117,0,0.841886117
7/1/2019,19-Jul,2019,July,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
6/1/2019,19-Jun,2019,June,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
5/1/2019,19-May,2019,May,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
4/1/2019,19-Apr,2019,April,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
3/1/2019,19-Mar,2019,March,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
2/1/2019,19-Feb,2019,February,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
1/1/2019,19-Jan,2019,January,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
12/1/2018,18-Dec,2018,December,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
11/1/2018,18-Nov,2018,November,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
10/1/2018,18-Oct,2018,October,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
9/1/2018,18-Sep,2018,September,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
8/1/2018,18-Aug,2018,August,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
7/1/2018,18-Jul,2018,July,AMR,Region of the Americas,Anguilla,Northern,AIA,1,0,0,0,0,0,0,0.975,0,0.975
6/1/2018,18-Jun,2018,June,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
5/1/2018,18-May,2018,May,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
4/1/2018,18-Apr,2018,April,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
3/1/2018,18-Mar,2018,March,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
2/1/2018,18-Feb,2018,February,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
1/1/2018,18-Jan,2018,January,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
12/1/2017,17-Dec,2017,December,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,,,,,,0,1
11/1/2017,17-Nov,2017,November,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
10/1/2017,17-Oct,2017,October,AMR,Region of the Americas,Anguilla,Northern,AIA,3,0,0,,,0,,,0,0.707598226
9/1/2017,17-Sep,2017,September,AMR,Region of the Americas,Anguilla,Northern,AIA,1,0,0,,,0,,,0,0.975
8/1/2017,17-Aug,2017,August,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
7/1/2017,17-Jul,2017,July,AMR,Region of the Americas,Anguilla,Northern,AIA,3,0,0,,,0,,,0,0.707598226
6/1/2017,17-Jun,2017,June,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
5/1/2017,17-May,2017,May,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
4/1/2017,17-Apr,2017,April,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
3/1/2017,17-Mar,2017,March,AMR,Region of the Americas,Anguilla,Northern,AIA,15,2,0,,,0,,,0,0.218019361
2/1/2017,17-Feb,2017,February,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
1/1/2017,17-Jan,2017,January,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
12/1/2016,16-Dec,2016,December,AMR,Region of the Americas,Anguilla,Northern,AIA,20,2,0,0,0,0,0,0.168433471,0,0.168433471
11/1/2016,16-Nov,2016,November,AMR,Region of the Americas,Anguilla,Northern,AIA,15,0,0,0,0,0,0,0.218019361,0,0.218019361
8/1/2016,16-Aug,2016,August,AMR,Region of the Americas,Anguilla,Northern,AIA,5,0,0,0,0,0,0,0.52182375,0,0.52182375
7/1/2016,16-Jul,2016,July,AMR,Region of the Americas,Anguilla,Northern,AIA,2,0,0,0,0,0,0,0.841886117,0,0.841886117
6/1/2016,16-Jun,2016,June,AMR,Region of the Americas,Anguilla,Northern,AIA,3,0,0,0,0,0,0,0.707598226,0,0.707598226
2/1/2016,16-Feb,2016,February,AMR,Region of the Americas,Anguilla,Northern,AIA,5,0,0,0,0,0,0,0.52182375,0,0.52182375
1/1/2016,16-Jan,2016,January,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
12/1/2015,15-Dec,2015,December,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
7/1/2015,15-Jul,2015,July,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
5/1/2015,15-May,2015,May,AMR,Region of the Americas,Anguilla,Northern,AIA,5,2,0,0,0,0,0,0.52182375,0,0.52182375
1/1/2015,15-Jan,2015,January,AMR,Region of the Americas,Anguilla,Northern,AIA,3,0,0,0,0,0,0,0.707598226,0,0.707598226
12/1/2014,14-Dec,2014,December,AMR,Region of the Americas,Anguilla,Northern,AIA,1,0,0,0,0,0,0,0.975,0,0.975
11/1/2014,14-Nov,2014,November,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
10/1/2014,14-Oct,2014,October,AMR,Region of the Americas,Anguilla,Northern,AIA,10,0,0,0,0,0,0,0.308497108,0,0.308497108
9/1/2014,14-Sep,2014,September,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
8/1/2014,14-Aug,2014,August,AMR,Region of the Americas,Anguilla,Northern,AIA,1,1,0,0,0,0,0,0.975,0,0.975
7/1/2014,14-Jul,2014,July,AMR,Region of the Americas,Anguilla,Northern,AIA,0,0,0,0,,,0,1,0,1
6/1/2014,14-Jun,2014,June,AMR,Region of the Americas,Anguilla,Northern,AIA,67,5,0,0,0,0,0,0.053569654,0,0.053569654
5/1/2014,14-May,2014,May,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
4/1/2014,14-Apr,2014,April,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
3/1/2014,14-Mar,2014,March,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
2/1/2014,14-Feb,2014,February,AMR,Region of the Americas,Anguilla,Northern,AIA,7,2,0,0,0,0,0,0.409616397,0,0.409616397
1/1/2014,14-Jan,2014,January,AMR,Region of the Americas,Anguilla,Northern,AIA,,,,,,,,,,
11/1/2024,Nov-24,2024,November,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
10/1/2024,24-Oct,2024,October,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
9/1/2024,24-Sep,2024,September,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,0,0,0,,,0,1,0,1
8/1/2024,24-Aug,2024,August,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,0,0,0,,,0,1,0,1
7/1/2024,24-Jul,2024,July,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,28,4,0,0,0,0,0,0.123436119,0,0.123436119
6/1/2024,24-Jun,2024,June,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
5/1/2024,24-May,2024,May,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,8,1,0,0,0,0,0,0.369416648,0,0.369416648
4/1/2024,24-Apr,2024,April,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,74,1,0,0,0,0,0,0.048627616,0,0.048627616
3/1/2024,24-Mar,2024,March,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,0,0,0,,,0,1,0,1
2/1/2024,24-Feb,2024,February,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
1/1/2024,24-Jan,2024,January,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,41,6,0,0,0,0,0,0.086043836,0,0.086043836
12/1/2023,23-Dec,2023,December,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,209,0,0,0,0,0,0,0.01749529,0,0.01749529
11/1/2023,23-Nov,2023,November,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,4,0,0,,,0,1,0,1
10/1/2023,23-Oct,2023,October,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,20,14,0,0,0,0,0,0.168433471,0,0.168433471
9/1/2023,23-Sep,2023,September,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,3,15,0,0,0,0,0,0.707598226,0,0.707598226
8/1/2023,23-Aug,2023,August,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,-6,0,0,0,,,,,,
7/1/2023,23-Jul,2023,July,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,1,0,0,0,0,0,0,0.975,0,0.975
6/1/2023,23-Jun,2023,June,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,2,0,0,0,0,0,0,0.841886117,0,0.841886117
5/1/2023,23-May,2023,May,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,5,0,0,0,0,0,0,0.52182375,0,0.52182375
4/1/2023,23-Apr,2023,April,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,4,1,0,0,0,0,0,0.602364636,0,0.602364636
3/1/2023,23-Mar,2023,March,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,8,0,0,0,0,0,0,0.369416648,0,0.369416648
2/1/2023,23-Feb,2023,February,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,8,1,0,0,0,0,0,0.369416648,0,0.369416648
1/1/2023,23-Jan,2023,January,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,0,0,0,,,0,1,0,1
12/1/2022,22-Dec,2022,December,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,48,0,0,0,0,0,0,0.073972785,0,0.073972785
11/1/2022,22-Nov,2022,November,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
10/1/2022,22-Oct,2022,October,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
9/1/2022,22-Sep,2022,September,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
8/1/2022,22-Aug,2022,August,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
7/1/2022,22-Jul,2022,July,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
6/1/2022,22-Jun,2022,June,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
5/1/2022,22-May,2022,May,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
4/1/2022,22-Apr,2022,April,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
3/1/2022,22-Mar,2022,March,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
2/1/2022,22-Feb,2022,February,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
1/1/2022,22-Jan,2022,January,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
12/1/2021,21-Dec,2021,December,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,25,0,0,0,0,0,0,0.137185172,0,0.137185172
11/1/2021,21-Nov,2021,November,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
10/1/2021,21-Oct,2021,October,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
9/1/2021,21-Sep,2021,September,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
8/1/2021,21-Aug,2021,August,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
7/1/2021,21-Jul,2021,July,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
6/1/2021,21-Jun,2021,June,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
5/1/2021,21-May,2021,May,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
4/1/2021,21-Apr,2021,April,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
3/1/2021,21-Mar,2021,March,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
2/1/2021,21-Feb,2021,February,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
1/1/2021,21-Jan,2021,January,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
12/1/2020,20-Dec,2020,December,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
11/1/2020,20-Nov,2020,November,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
10/1/2020,20-Oct,2020,October,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
9/1/2020,20-Sep,2020,September,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,12,0,0,,,0,1,0,1
8/1/2020,20-Aug,2020,August,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,2,0,0,0,0,0,0,0.841886117,0,0.841886117
7/1/2020,20-Jul,2020,July,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,1,0,0,0,0,0,0,0.975,0,0.975
6/1/2020,20-Jun,2020,June,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,3,0,0,0,0,0,0,0.707598226,0,0.707598226
5/1/2020,20-May,2020,May,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,5,0,0,0,0,0,0,0.52182375,0,0.52182375
4/1/2020,20-Apr,2020,April,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,2,0,0,0,0,0,0,0.841886117,0,0.841886117
3/1/2020,20-Mar,2020,March,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,43,0,0,0,0,0,0,0.082211121,0,0.082211121
2/1/2020,20-Feb,2020,February,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,90,0,0,0,0,0,0,0.04015892,0,0.04015892
1/1/2020,20-Jan,2020,January,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,261,0,0,0,0,0,0,0.014034227,0,0.014034227
12/1/2019,19-Dec,2019,December,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
11/1/2019,19-Nov,2019,November,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,852,19,0,0,0,0,0,0.004320311,0,0.004320311
10/1/2019,19-Oct,2019,October,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,0,0,0,,,0,1,0,1
9/1/2019,19-Sep,2019,September,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,168,0,0,0,0,0,0,0.021718302,0,0.021718302
8/1/2019,19-Aug,2019,August,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
7/1/2019,19-Jul,2019,July,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
6/1/2019,19-Jun,2019,June,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,11,0,0,0,0,0,0,0.284914153,0,0.284914153
5/1/2019,19-May,2019,May,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,10,0,0,0,0,0,0,0.308497108,0,0.308497108
4/1/2019,19-Apr,2019,April,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
3/1/2019,19-Mar,2019,March,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,175,11,0,0,0,0,0,0.020858695,0,0.020858695
2/1/2019,19-Feb,2019,February,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
1/1/2019,19-Jan,2019,January,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,7,6,0,0,0,0,0,0.409616397,0,0.409616397
12/1/2018,18-Dec,2018,December,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,6,0,0,,,0,1,0,1
11/1/2018,18-Nov,2018,November,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,0,0,0,,,0,1,0,1
10/1/2018,18-Oct,2018,October,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,0,0,0,,,0,1,0,1
9/1/2018,18-Sep,2018,September,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,0,0,0,,,0,1,0,1
8/1/2018,18-Aug,2018,August,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,3,0,0,0,0,0,0,0.707598226,0,0.707598226
7/1/2018,18-Jul,2018,July,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
6/1/2018,18-Jun,2018,June,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
5/1/2018,18-May,2018,May,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,4,0,0,0,0,0,0,0.602364636,0,0.602364636
4/1/2018,18-Apr,2018,April,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,0,0,0,,,0,1,0,1
3/1/2018,18-Mar,2018,March,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,0,0,0,0,,,0,1,0,1
2/1/2018,18-Feb,2018,February,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,1,1,0,0,0,0,0,0.975,0,0.975
1/1/2018,18-Jan,2018,January,AMR,Region of the Americas,Antigua and Barbuda,Northern,ATG,,,,,,,,,,
