who_region,Country ,WorldPop,WPPM,Hemisphere,Cases,Deaths,Cases/M,Deaths/M,CFR,Climate_Zone,WHO Region,Continents,Cases_Con,Deaths_Con,WorldPop,WPPM,CFR100,Climate_Zone,iso_code,WPPM,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
SEAR,Bhutan,787424,0.787424,Northern,0,0,0,0,,Subtropical,South-East Asia Region,Asia,884639,1008,787424,0.787424,,Subtropical,BT,0.787424,43.686,20.482,6.4,10.4,8.823322,43,8.05,3595.81,208
AMR,Bolivia,12079472,12.079472,Southern,50439,29,4175.596417,2.400767186,0.057495192,Tropical,Region of the Americas,South America,11892175,7310,12079472,12.079472,0.000574952,Tropical,BOL,12.388571,70.83,11.303,20.2,5.5,8.627561,38,26.43,1260.42,
AMR,"Bonaire, Saint Eustatius and Saba",26706,0.026706,Northern,207,0,7751.067176,0,,Tropical,Region of the Americas,North America,1142666,934,26706,0.026706,,Tropical,BES,,,,,,,,,,152
EUR,Bosnia and Herzegovina,3270943,3.270943,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,3270943,3.270943,,Subtropical,BIH,3.210847,49.841,62.212,17.9,9.1,33.189537,44,9.92,1060.84,89
EUR,Botswana,2675352,2.675352,Southern,0,0,0,0,,Subtropical,European Region,Africa,168851,152,2675352,2.675352,,Subtropical,BWA,2.675352,72.224,4.376,18.9,5.2,6.224666,44,24.18,396.27,
AMR,Brazil,214326223,214.326223,Southern,10267077,6264,47903.9702,29.22647501,0.060166703,Tropical,Region of the Americas,South America,11892175,7310,214326223,214.326223,0.000601667,Tropical,BRA,216.422446,87.555,25.262,22.1,18.8,15.310751,45,28.77,820.94,127
AMR,British Virgin Islands,31122,0.031122,Northern,139,0,4466.29394,0,,Subtropical,Region of the Americas,North America,1142666,934,31122,0.031122,,Subtropical,VGB,,,,,,,,,,
WPR,Brunei,452524,0.452524,Northern,0,0,0,0,,Tropical,Western Pacific Region,Asia,884639,1008,452524,0.452524,,Tropical,BN,0.452524,78.854,79.609,14.1,11.1,8.98518,46,26.2,5349.65,
EUR,Bulgaria,6885868,6.885868,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,6885868,6.885868,,Polar,BGR,6.687717,76.363,62.694,25,7.4,34.304073,45,13.81,655.21,78
AFR,Burkina Faso,22100683,22.100683,Northern,73808,94,3339.625296,4.253262218,0.127357468,Tropical,African Region,Africa,168851,152,22100683,22.100683,0.001273575,Tropical,BFA,23.251485,31.877,84.159,5.6,21.1,4.766848,31,29.43,646.92,
