who_region,Country ,WorldPop,WPPM,Hemisphere,Cases,Deaths,Cases/M,Deaths/M,CFR,Climate_Zone,WHO Region,Continents,Cases_Con,Deaths_Con,WorldPop,WPPM,CFR100,Climate_Zone,iso_code,WPPM,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
EUR,Kosovo,,0,Northern,0,0,,,,Subtropical,European Region,Europe,308,0,,0,,Subtropical,XK,0,,155.895,,,13.964014,,12.9,2.39,
EMR,Kuwait,4310108,4.310108,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,4310108,4.310108,,Subtropical,KWT,4.310108,100,271.567,37.9,24.9,3.763919,41,27.3,70.88,
EUR,Kyrgyzstan,6527743,6.527743,Northern,0,0,0,0,,Subtropical,European Region,Asia,884639,1008,6527743,6.527743,,Subtropical,KGZ,6.735347,37.461,36.88,16.6,6.6,8.76728,41,0.98,488.95,95
WPR,Laos,7425057,7.425057,Northern,19486,11,2624.356958,1.481470109,0.056450785,Tropical,Western Pacific Region,Asia,884639,1008,7425057,7.425057,0.000564508,Tropical,LAO,7.633779,37.592,33.211,15.3,6.2,6.986456,29,24.6,901.84,79
EUR,Latvia,1873919,1.873919,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,1873919,1.873919,,Subtropical,LVA,1.830211,68.54,30.25,23.6,,33.8569,44,8.42,756.57,49
EMR,Lebanon,5353930,5.35393,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,5353930,5.35393,,Subtropical,LBN,5.35393,89.262,564.369,32,8,15.478027,38,19.97,503.66,65
EUR,Lesotho,2330318,2.330318,Southern,0,0,0,0,,Subtropical,European Region,Africa,168851,152,2330318,2.330318,,Subtropical,LS,2.330318,29.943,76.135,16.6,4.6,6.246217,40,11.45,622.11,16
AFR,Liberia,5193416,5.193416,Northern,45,0,8.664817145,0,,Tropical,African Region,Africa,168851,152,5193416,5.193416,,Tropical,LBR,5.418377,53.065,57.029,9.9,2.1,5.7780304,39,26.09,1899.26,6
EMR,Libya,6888388,6.888388,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Africa,168851,152,6888388,6.888388,,Subtropical,LBY,6.888388,81.302,4.358,32.5,8.7,7.2624836,43,23.49,20.81,
EUR,Liechtenstein,39039,0.039039,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,39039,0.039039,,Polar,LIE,0.039584,14.538,,,6.1,30.794434,,6.02,1849.35,
EUR,Lithuania,2786651,2.786651,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,2786651,2.786651,,Subtropical,LTU,2.718352,68.465,45.577,26.3,5.8,30.410069,48,9.02,2.01,
EUR,Luxembourg,639321,0.639321,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,639321,0.639321,,Subtropical,LUX,0.654768,91.881,256.795,22.6,5.9,21.846792,31,9.73,1243.62,35
AFR,Madagascar,28915653,28.915653,Southern,0,0,0,0,,Tropical,African Region,Africa,168851,152,28915653,28.915653,,Tropical,MDG,30.325732,39.882,53.62,5.3,4.6,5.841431,37,18.89,4.35,93
EUR,Madeira Islands,,0,Northern,0,0,,,,Subtropical,European Region,Africa,168851,152,,0,,Subtropical,PT,0,,,,,,,,,
EUR,Malawi,19889742,19.889742,Northern,0,0,0,0,,Tropical,European Region,Africa,168851,152,19889742,19.889742,,Tropical,MWI,20.931751,17.98,223.205,5.8,7.3,4.6197143,30,26.9,1351.45,
WPR,Malaysia,33573874,33.573874,Northern,122423,67,3646.376942,1.995599316,0.054728278,Tropical,Western Pacific Region,Asia,884639,1008,33573874,33.573874,0.000547283,Tropical,MYS,34.308525,78.214,106.913,15.6,19,10.596843,41,25.38,3076.81,69
SEAR,Maldives,521457,0.521457,Northern,3294,2,6316.915872,3.83540733,0.060716454,Tropical,South-East Asia Region,Asia,884639,1008,521457,0.521457,0.000607165,Tropical,MDV,0.521021,41.536,1753.313,8.6,9.2,5.7477074,34,28.66,1899.15,18
AFR,Mali,21904983,21.904983,Northern,9556,12,436.2477707,0.547820558,0.125575555,Tropical,African Region,Africa,168851,152,21904983,21.904983,0.001255756,Tropical,MLI,23.293698,45.437,19.48,8.6,2.1,4.7039475,35,28.63,229.7,
EUR,Malta,526748,0.526748,Northern,0,0,0,0,,Subtropical,European Region,Africa,168851,152,526748,0.526748,,Subtropical,MLT,0.535064,94.875,1691.924,28.9,8,29.47845,30,21.02,270.63,39
WPR,Marshall Islands,42050,0.04205,Northern,0,0,0,0,,Tropical,Western Pacific Region,Oceania,9640,0,42050,0.04205,,Tropical,MHL,0.041996,78.52,215.706,,23,7.222856,32,28.71,7.8,
AMR,Martinique,368796,0.368796,Northern,7371,0,19986.65929,0,,Tropical,Region of the Americas,North America,1142666,934,368796,0.368796,,Tropical,MTQ,0.366981,,326.417,,,40.15415,,,,
AFR,Mauritania,4614974,4.614974,Northern,3640,0,788.736838,0,,Subtropical,African Region,Africa,168851,152,4614974,4.614974,,Subtropical,MRT,4.862989,56.923,4.873,12.7,2.1,5.981058,38,27.4,32.56,
AFR,Mauritius,1298915,1.298915,Southern,9917,5,7634.833688,3.849366587,0.050418473,Tropical,African Region,Africa,168851,152,1298915,1.298915,0.000504185,Tropical,MUS,1.300557,40.81,627.383,10.8,22.6,17.978416,33,25.09,827.78,22
EUR,Mayotte,316014,0.316014,Southern,64,0,202.522673,0,,Tropical,European Region,Africa,168851,152,316014,0.316014,,Tropical,MYT,0.335995,,842.708,,,4.9611335,,,,
AMR,Mexico,126705138,126.705138,Northern,558846,478,4410.602512,3.772538411,0.085533403,Subtropical,Region of the Americas,North America,1142666,934,126705138,126.705138,0.000855334,Subtropical,MEX,128.455567,81.3,66.219,28.9,16.9,11.898048,32,18.79,375.83,86
WPR,Micronesia,113131,0.113131,Northern,43,0,380.0903378,0,,Tropical,Western Pacific Region,Oceania,9640,0,113131,0.113131,,Tropical,FSM,0.544321,23.217,160.901,,15.6,9.2319565,33,,,
EUR,Moldova,3061506,3.061506,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,3061506,3.061506,,Polar,MDA,3.435931,43.173,93.275,18.9,5.6,24.235638,48,12.41,638.44,
EUR,Monaco,36686,0.036686,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,36686,0.036686,,Subtropical,MCO,0.036297,100,26145.303,,6.2,70.11033,,,,27
WPR,Mongolia,3447157,3.447157,Northern,0,0,0,0,,Polar,Western Pacific Region,Asia,884639,1008,3447157,3.447157,,Polar,MN,3.447157,68.93,2.204,20.6,6.9,7.7804265,43,1.85,417.12,152
EUR,Montenegro,627859,0.627859,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,627859,0.627859,,Subtropical,MNE,0.626485,68.164,45.87,23.3,9.1,27.187729,45,11.78,1540.89,81
AMR,Montserrat,4417,0.004417,Northern,3,0,679.1940231,0,,Tropical,Region of the Americas,North America,1142666,934,4417,0.004417,,Tropical,MSR,0.004386,,42.917,,,30,,,,
EMR,Morocco,37840044,37.840044,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Africa,168851,152,37840044,37.840044,,Subtropical,MAR,37.840044,64.596,84.5,26.1,9.1,11.831672,35,20.17,253.53,100
AFR,Mozambique,32077072,32.077072,Southern,0,0,0,0,,Tropical,African Region,Africa,168851,152,32077072,32.077072,,Tropical,MOZ,33.897354,38.187,42.772,7.2,3.3,5.2719865,39,26.22,997.16,
SEAR,Myanmar,53798084,53.798084,Northern,6388,13,118.7402882,0.241644294,0.203506575,Tropical,South-East Asia Region,Asia,884639,1008,53798084,53.798084,0.002035066,Tropical,MMR,54.577997,31.771,82.863,5.8,7.1,10.364796,38,27.63,482.69,84
AFR,Namibia,2530151,2.530151,Southern,0,0,0,0,,Subtropical,African Region,Africa,168851,152,2530151,2.530151,,Subtropical,NAM,2.604172,53.956,3.599,17.2,6.7,6.0365663,44,23,239.82,
WPR,Nauru,12780,0.01278,Southern,0,0,0,0,,Tropical,Western Pacific Region,Oceania,9640,0,12780,0.01278,,Tropical,NR,0.01278,100,593.75,,23.4,4.6029267,42,28.78,3.39,
SEAR,Nepal,30034989,30.034989,Northern,41865,15,1393.874324,0.499417529,0.035829452,Subtropical,South-East Asia Region,Asia,884639,1008,30034989,30.034989,0.000358295,Subtropical,NPL,30.89659,21.451,201.756,4.1,8.7,9.796389,36,5.75,1936.52,102
EUR,Netherlands,17501696,17.501696,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,17501696,17.501696,,Subtropical,NLD,17.618299,92.886,537.333,20.4,4.5,31.145607,31,11.5,1020.09,37
AMR,Nevis,,0,Northern,0,0,,,,Tropical,Region of the Americas,North America,1142666,934,,0,,Tropical,KN,0,,,,,,,,,
WPR,New Caledonia,287800,0.2878,Southern,16,0,55.59416261,0,,Subtropical,Western Pacific Region,Oceania,9640,0,287800,0.2878,,Subtropical,NCL,0.292991,72.325,15.857,,23.4,16.455742,,24.67,1152.17,
WPR,New Zealand,5228100,5.2281,Northern,0,0,0,0,,Subtropical,Western Pacific Region,Oceania,9640,0,5228100,5.2281,,Subtropical,NZL,5.2281,86.884,19.527,30.8,6.2,25.889856,31,7.43,1551.12,23
AMR,Nicaragua,6850540,6.85054,Northern,92022,1,13432.80968,0.145973894,0.001086697,Tropical,Region of the Americas,North America,1142666,934,6850540,6.85054,1.09E-05,Tropical,NIC,7.04631,59.556,56.703,23.7,9.3,8.222568,36,26.7,2112.21,
AFR,Niger,25252722,25.252722,Northern,58,12,2.296782105,0.475196298,20.68965517,Subtropical,African Region,Africa,168851,152,25252722,25.252722,0.206896552,Subtropical,NER,27.202843,26.9,20.652,15.5,5.2,5.0948744,42,25.98,230.18,
EUR,Nigeria,223804632,223.804632,Northern,0,0,0,0,,Tropical,European Region,Africa,168851,152,223804632,223.804632,,Tropical,NGA,223.804632,53.521,250.209,8.9,3.6,5.4580126,36,25.53,1641.27,168
WPR,Niue,1937,0.001937,Southern,0,0,0,0,,Tropical,Western Pacific Region,Oceania,9640,0,1937,0.001937,,Tropical,NIU,0.001935,,6.99,,,26.612904,40,26.34,1796.79,
WPR,Norfolk Island,,0,Southern,0,0,,,,Subtropical,Western Pacific Region,Oceania,9640,0,,0,,Subtropical,NF,0,,,,,,,,,
SEAR,North Korea,26160821,26.160821,Northern,0,0,0,0,,Polar,South-East Asia Region,Asia,884639,1008,26160821,26.160821,,Polar,KP,26.160821,62.916,219.402,,8.6,17.433237,27,6.23,1429.98,
EUR,North Macedonia,2103330,2.10333,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,2103330,2.10333,,Subtropical,MKD,2.085679,59.118,73.528,,6.1,26.74321,45,14.06,655.19,79
WPR,Northern Mariana Islands,49481,0.049481,Northern,1,0,20.20977749,0,,Tropical,Western Pacific Region,Oceania,9640,0,49481,0.049481,,Tropical,MNP,0.049796,91.983,,52.9,23.4,12.735773,,28.36,1261.81,
EUR,Norway,5403021,5.403021,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,5403021,5.403021,,Polar,NOR,5.47436,83.664,18.142,23.1,3.6,28.497911,31,5.79,1679.42,9
EMR,Oman,4644384,4.644384,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,4644384,4.644384,,Subtropical,OMN,4.644384,87.75,16.314,27,13.8,3.6882658,46,29.76,99.04,
EMR,Pakistan,231402117,231.402117,Northern,58433,0,252.5171367,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,231402117,231.402117,,Subtropical,PAK,240.485658,37.731,321.067,8.6,30.8,7.1405497,43,21.48,515.35,32
WPR,Palau,18024,0.018024,Northern,4,0,221.9263205,0,,Tropical,Western Pacific Region,Oceania,9640,0,18024,0.018024,,Tropical,PLW,0.018058,81.956,38.538,,17,15.421456,44,28.7,2870.16,
EMR,Palestine,5371230,5.37123,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,5371230,5.37123,,Subtropical,PSE,5.37123,77.291,898.538,,9.2,6.5751743,,20.58,539.39,55
AMR,Panama,4351267,4.351267,Northern,37231,52,8556.358412,11.95054222,0.139668556,Tropical,Region of the Americas,North America,1142666,934,4351267,4.351267,0.001396686,Tropical,PAN,4.468087,69.141,60.11,22.7,8.2,13.777615,36,27.52,2787.37,54
WPR,Papua New Guinea,10329931,10.329931,Southern,0,0,0,0,,Tropical,Western Pacific Region,Oceania,9640,0,10329931,10.329931,,Tropical,PG,10.329931,13.582,22.942,21.3,16.7,5.3271713,28,20.82,2220.08,
AMR,Paraguay,6703799,6.703799,Southern,295785,129,44121.99709,19.24282038,0.043612759,Tropical,Region of the Americas,South America,11892175,7310,6703799,6.703799,0.000436128,Tropical,PRY,6.861524,62.818,16.922,20.3,17.5,19.8,56,26.43,1061.86,64
AMR,Peru,33715471,33.715471,Southern,280726,259,8326.325917,7.681933318,0.092260781,Tropical,Region of the Americas,South America,11892175,7310,33715471,33.715471,0.000922608,Tropical,PER,34.352719,78.708,26.44,29.47,8.8,13.481281,41,11.18,570.54,60
WPR,Philippines,117337368,117.337368,Northern,0,0,0,0,,Tropical,Western Pacific Region,Asia,884639,1008,117337368,117.337368,,Tropical,PHL,117.337368,47.977,382.971,6.4,7.1,7.9569736,34,28.24,2675.56,82
WPR,Pitcairn Islands,,0,Southern,0,0,,,,Tropical,Western Pacific Region,Oceania,9640,0,,0,,Tropical,PCN,0,,,,,,,,,
EUR,Poland,38307726,38.307726,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,38307726,38.307726,,Subtropical,POL,41.026067,60.134,126.596,23.1,6.8,29.908493,49,10.88,618.24,60
EUR,Portugal,10290103,10.290103,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,10290103,10.290103,,Subtropical,PRT,10.247605,67.381,113.396,20.8,9.1,38.23013,32,16.21,734.57,57
AMR,Puerto Rico,3256028,3.256028,Northern,6088,8,1869.762791,2.456981328,0.122634898,Tropical,Region of the Americas,North America,1142666,934,3256028,3.256028,0.001226349,Tropical,PRI,3.260314,93.61,372.989,,13.3,37.90025,,26.54,1473.65,26
EMR,Qatar,2716391,2.716391,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,2716391,2.716391,,Subtropical,QAT,2.716391,99.318,257.128,35.1,19.5,1.8880497,41,28.63,91.85,106
EUR,Reunion,966129,0.966129,Southern,1227,4,1270.016737,4.140233861,0.32599837,Tropical,African Region,Africa,168851,152,966129,0.966129,0.003259984,Tropical,REU,0.981796,,349.953,,,23.263546,,22.1,1022.52,
EUR,Romania,19328560,19.32856,Southern,0,0,0,0,,Polar,European Region,Europe,308,0,19328560,19.32856,,Polar,ROU,19.892812,54.489,83.096,22.5,6.5,30.679722,48,11.4,604.07,62
EUR,Russia,145102755,145.102755,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,145102755,145.102755,,Polar,RUS,144.444359,75.126,8.882,23.1,5.6,25.19117,44,-11.69,765.39,18
AFR,Rwanda,13461888,13.461888,Southern,0,0,0,0,,Tropical,African Region,Africa,168851,152,13461888,13.461888,,Tropical,RWA,14.094683,17.721,576.393,5.8,6.5,6.5387173,30,20.6,1396.21,
AMR,Saba,,0,Northern,0,0,,,,Tropical,Region of the Americas,North America,1142666,934,,0,,Tropical,NL,0,,,,,,,,,
AMR,Saint Barthelemy,10861,0.010861,Northern,173,0,15928.5517,0,,Tropical,Region of the Americas,North America,1142666,934,10861,0.010861,,Tropical,BLM,0.010994,,503.864,,,27.632336,,,,
AFR,Saint Helena,5314,0.005314,Southern,0,0,0,0,,Subtropical,African Region,Africa,168851,152,5314,0.005314,,Subtropical,SH,0.005314,,13.56,,,43.997486,,,,
AMR,Saint Kitts,47606,0.047606,Northern,253,0,5314.456161,0,,Tropical,Region of the Americas,North America,1142666,934,47606,0.047606,,Tropical,KNA,0.047755,30.991,179.838,22.9,16.1,15.086155,45,28.35,908.5,
AMR,Saint Lucia,179651,0.179651,Northern,432,0,2404.662373,0,,Tropical,Region of the Americas,North America,1142666,934,179651,0.179651,,Tropical,LCA,0.180251,19.05,291.046,19.7,11.7,12.769281,40,28.82,586.35,
AMR,Saint Martin,31948,0.031948,Northern,624,0,19531.73908,0,,Tropical,Region of the Americas,North America,1142666,934,31948,0.031948,,Tropical,MAF,0.032077,,519.142,,,27.882463,,,,
AMR,Saint Pierre and Miquelon,5840,0.00584,Northern,0,0,0,0,,Subtropical,Region of the Americas,North America,1142666,934,5840,0.00584,,Subtropical,PM,0.00584,,24.702,,,30.146471,,,,
AMR,Saint Vincent,104332,0.104332,Northern,971,0,9306.828202,0,,Tropical,Region of the Americas,North America,1142666,934,104332,0.104332,,Tropical,VCT,0.103698,53.875,259.801,23.7,8,17.313631,39,28.63,620.68,
WPR,Samoa,218764,0.218764,Southern,473,0,2162.147337,0,,Tropical,Western Pacific Region,Oceania,9640,0,218764,0.218764,,Tropical,WSM,0.225681,17.616,76.559,,9.2,10.269359,38,28.2,2051.98,
EUR,San Marino,33745,0.033745,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,33745,0.033745,,Polar,SMR,0.033642,97.732,552.992,,7.4,33.05039,,16.25,2.16,
AFR,Sao Tome and Principe,223107,0.223107,Northern,32,0,143.4289377,0,,Tropical,African Region,Africa,168851,152,223107,0.223107,,Tropical,STP,0.231856,75.755,240.491,12.4,5.5,6.688728,45,16.25,789.76,
EMR,Saudi Arabia,35950396,35.950396,Northern,8193,0,227.8973506,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,35950396,35.950396,,Subtropical,SAU,36.947025,84.729,15.474,35.4,18.7,3.856921,34,25.66,116.36,35
AFR,Senegal,16876720,16.87672,Northern,1208,9,71.57788954,0.533278978,0.745033113,Tropical,African Region,Africa,168851,152,16876720,16.87672,0.007450331,Tropical,SEN,17.763163,49.086,93.895,8.8,3.1,6.213864,41,30.16,522.41,91
EUR,Serbia,7296769,7.296769,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,7296769,7.296769,,Subtropical,SRB,7.149077,56.873,88.266,21.5,9.1,35.26065,46,13.81,717.35,75
AFR,Seychelles,106471,0.106471,Southern,2583,0,24260.12717,0,,Tropical,African Region,Africa,168851,152,106471,0.106471,,Tropical,SYC,0.10766,58.396,279.979,14,8.5,11.645998,44,27.96,1934.74,
SEAR,Siachen Glacier,,0,Northern,0,0,,,,Polar,South-East Asia Region,Asia,884639,1008,,0,,Polar,,0,,,,,,,,,
AFR,Sierra Leone,8420641,8.420641,Northern,1,0,0.118755805,0,,Tropical,African Region,Africa,168851,152,8420641,8.420641,,Tropical,SLE,8.791092,43.831,117.933,8.7,2.1,5.503796,41,26.54,2977.04,
WPR,Singapore,5941060,5.94106,Northern,13655,0,2298.411395,0,,Tropical,Western Pacific Region,Asia,884639,1008,5941060,5.94106,,Tropical,SGP,6.014723,100,8475.973,6.1,11.6,17.407629,32,27.83,5091.99,50
AMR,Sint Eustatius,,0,Northern,0,0,,,,Tropical,Region of the Americas,North America,1142666,934,,0,,Tropical,NL,0,,,,,,,,,
AMR,Sint Maarten,44042,0.044042,Northern,144,0,3269.606285,0,,Subtropical,Region of the Americas,North America,1142666,934,44042,0.044042,,Subtropical,SXM,0.044222,100,1257.324,,,18.96512,,,,
EUR,Slovakia,5447622,5.447622,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,5447622,5.447622,,Subtropical,SVK,5.795199,53.909,112.538,20.5,5.8,27.32183,43,10.04,1.97,62
EUR,Slovenia,2119410,2.11941,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,2119410,2.11941,,Subtropical,SVN,2.119675,55.751,105.194,20.2,5.8,33.431168,45,11.28,1346.3,52
WPR,Solomon Islands,707851,0.707851,Southern,125,0,176.5908362,0,,Tropical,Western Pacific Region,Oceania,9640,0,707851,0.707851,,Tropical,SLB,0.740424,25.584,27.782,,19.8,6.1454644,30,26.86,2909.75,
EMR,Somalia,18143378,18.143378,Northern,0,0,0,0,,Tropical,Eastern Mediterranean Region,Africa,168851,152,18143378,18.143378,,Tropical,SOM,18.143378,47.324,29.264,8.3,6.5,5.0525584,36,28.38,509.51,
EUR,South Africa,60414495,60.414495,Southern,0,0,0,0,,Subtropical,European Region,Africa,168851,152,60414495,60.414495,,Subtropical,ZAF,60.414495,68.335,51.779,28.3,10.8,9.6532955,44,18.81,405.91,74
AMR,South Georgia,,0,Southern,0,0,,,,Polar,Region of the Americas,Antarctica,0,0,,0,,Polar,GS,0,,,,,,,,,
WPR,South Korea,51784059,51.784059,Northern,0,0,0,0,,Subtropical,Western Pacific Region,Asia,884639,1008,51784059,51.784059,,Subtropical,KOR,51.784059,81.427,523.016,4.7,6.8,25.912172,27,13.09,1471.95,75
AMR,South Sandwich Islands,,0,Southern,0,0,,,,Polar,Region of the Americas,Antarctica,0,0,,0,,Polar,GS,0,,,,,,,,,
AFR,South Sudan,10748272,10.748272,Northern,0,0,0,0,,Tropical,African Region,Africa,168851,152,10748272,10.748272,,Tropical,SSD,11.088796,20.846,20.355,8.6,6.5,5.0881314,34,29.23,1153.82,
EUR,Spain,47486935,47.486935,Northern,10,0,0.210584238,0,,Subtropical,European Region,Europe,308,0,47486935,47.486935,,Subtropical,ESP,47.519628,81.304,95.374,23.8,10.3,31.20693,27,12.14,587.5,38
SEAR,Sri Lanka,21773441,21.773441,Northern,33236,0,1526.44683,0,,Tropical,South-East Asia Region,Asia,884639,1008,21773441,21.773441,,Tropical,LKA,21.893579,19.026,366.344,15.2,11.3,17.809431,36,25.82,1603.53,75
EMR,Sudan,45657202,45.657202,Northern,10560,8,231.2888118,0.175218797,0.075757576,Subtropical,Eastern Mediterranean Region,Africa,168851,152,45657202,45.657202,0.000757576,Subtropical,SDN,48.109006,35.956,28.352,8.6,18.9,5.7204413,41,26.63,286.09,
AMR,Suriname,612985,0.612985,Northern,95,3,154.9793225,4.894083868,3.157894737,Tropical,Region of the Americas,South America,11892175,7310,612985,0.612985,0.031578947,Tropical,SUR,0.623236,66.307,4.031,26.4,12.7,11.466745,43,26.77,5.38,
AFR,Swaziland,,0,Southern,0,0,,,,Subtropical,African Region,Africa,168851,152,,0,,Subtropical,SZ,0,,,16.5,,,,,,
EUR,Sweden,10467097,10.467097,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,10467097,10.467097,,Polar,SWE,10.612086,,25.903,20.6,5,32.96824,30,1.25,991.4,22
EUR,Switzerland,8691406,8.691406,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,8691406,8.691406,,Subtropical,CHE,8.796669,74.092,221.808,15.6,4.6,29.963114,22,9.09,4.56,38
EMR,Syria,23227014,23.227014,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,23227014,23.227014,,Subtropical,SYR,23.227014,56.769,128.434,,14.9,7.2126393,41,18.75,245.5,
WPR,Taiwan,23923276,23.923276,Northern,0,0,0,0,,Subtropical,Western Pacific Region,Asia,884639,1008,23923276,23.923276,,Subtropical,TWN,23.923276,,658.49,,,26.247805,,,,
EUR,Tajikistan,9750064,9.750064,Northern,0,0,0,0,,Subtropical,European Region,Asia,884639,1008,9750064,9.750064,,Subtropical,TJK,10.143543,27.968,72.605,14.2,6.6,6.099094,47,-0.62,587.5,158
EUR,Tanzania,63588334,63.588334,Southern,34,0,0.534689272,0,,Tropical,African Region,Africa,168851,152,63588334,63.588334,,Tropical,TZA,67.438106,36.682,75.206,8.4,12.3,5.608926,33,22.83,1025.78,74
SEAR,Thailand,71601103,71.601103,Northern,104681,87,1462.002617,1.215065081,0.083109638,Subtropical,South-East Asia Region,Asia,884639,1008,71601103,71.601103,0.000831096,Subtropical,THA,71.801279,52.889,140.348,20,9.7,20.943678,39,27.15,3.85,68
SEAR,Timor-Leste,1360596,1.360596,Southern,0,0,0,0,,Tropical,South-East Asia Region,Asia,884639,1008,1360596,1.360596,,Tropical,TL,1.360596,,,3.8,,,35,23.48,1334.48,
AMR,Tobago,1534937,1.534937,Northern,0,0,0,0,,Subtropical,Region of the Americas,South America,11892175,7310,1534937,1.534937,,Subtropical,TT,1.534937,,,,,,,,,
AFR,Togo,8644829,8.644829,Northern,0,0,0,0,,Tropical,African Region,Africa,168851,152,8644829,8.644829,,Tropical,TGO,9.053799,43.921,171.067,8.4,2.1,5.555062,36,26.24,1273.66,
WPR,Tokelau,1849,0.001849,Southern,4,0,2163.331531,0,,Tropical,Western Pacific Region,Oceania,9640,0,1849,0.001849,,Tropical,TKL,0.001849,,199.792,,,12.073325,,,,
WPR,Tonga,106017,0.106017,Southern,14,0,132.0542932,0,,Tropical,Western Pacific Region,Oceania,9640,0,106017,0.106017,,Tropical,TON,0.107773,23.125,160.919,,15,11.436135,43,25.22,1691.25,
AMR,Trinidad,1525663,1.525663,Northern,2004,19,1313.527299,12.45360214,0.948103792,Tropical,Region of the Americas,North America,1142666,934,1525663,1.525663,0.009481038,Tropical,TTO,1.534937,53.34,292.969,18.6,12.7,16.90432,42,27.43,1951.42,80
EMR,Tunisia,12458223,12.458223,Southern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Africa,168851,152,12458223,12.458223,,Subtropical,TN,12.458223,70.214,78.495,26.9,9.6,13.803305,35,22.04,106.41,62
EUR,Turkey,84775404,84.775404,Northern,0,0,0,0,,Subtropical,European Region,Asia,884639,1008,84775404,84.775404,,Subtropical,TUR,85.816199,77.022,113.397,32.1,14.5,14.669032,33,12.2,459.34,70
EUR,Turkmenistan,6341855,6.341855,Northern,0,0,0,0,,Subtropical,European Region,Asia,884639,1008,6341855,6.341855,,Subtropical,TKM,6.5161,53.494,15.671,,6.7,6.6692004,39,16.52,115.93,71
AMR,Turks and Caicos Islands,45114,0.045114,Northern,117,0,2593.429977,0,,Tropical,Region of the Americas,North America,1142666,934,45114,0.045114,,Tropical,TCA,0.046062,94.047,48.629,,,14.966451,,,,
WPR,Tuvalu,11204,0.011204,Southern,1,0,89.25383792,0,,Tropical,Western Pacific Region,Oceania,9640,0,11204,0.011204,,Tropical,TUV,0.011396,65.527,327.183,,20.3,10.399335,50,29.2,2847.33,
AFR,Uganda,45853778,45.853778,Northern,0,0,0,0,,Tropical,African Region,Africa,168851,152,45853778,45.853778,,Tropical,UGA,48.582334,26.159,243.518,5.3,4.6,3.9850087,33,24.69,3.3,152
EUR,UK,67281039,67.281039,Northern,0,0,0,0,,Subtropical,European Region,Europe,308,0,67281039,67.281039,,Subtropical,GBR,67.736802,84.398,282.948,27.8,6.3,30.326279,26,8.98,1051.97,33
EUR,Ukraine,43531422,43.531422,Northern,0,0,0,0,,Polar,European Region,Europe,308,0,43531422,43.531422,,Polar,UKR,36.744634,69.919,65.133,24.1,5.6,27.596714,43,10.7,594.72,91
EMR,United Arab Emirates,9516871,9.516871,Northern,0,0,0,0,,Subtropical,Eastern Mediterranean Region,Asia,884639,1008,9516871,9.516871,,Subtropical,ARE,9.516871,87.543,149.838,31.7,16.4,2.0686865,41,29.4,194.36,95
AMR,United States Virgin Islands,100091,0.100091,Northern,0,0,0,0,,Tropical,Region of the Americas,North America,1142666,934,100091,0.100091,,Tropical,VIR,,,,,,,,,,
AMR,Uruguay,3426260,3.42626,Southern,701,2,204.5962653,0.583726863,0.285306705,Subtropical,Region of the Americas,South America,11892175,7310,3426260,3.42626,0.002853067,Subtropical,URY,3.423108,95.688,19.562,27.9,9,24.020798,42,18.26,751.06,50
AMR,USA,336997624,336.997624,Northern,3071,0,9.112823893,0,,Subtropical,Region of the Americas,North America,1142666,934,336997624,336.997624,,Subtropical,USA,339.996563,83.084,37.548,36.2,12.4,26.799246,32,-10.03,641.18,35
