country,iso3,who_region,population_at_risk,serotype_date,sero_1,sero_2,sero_3,sero_4,total_pop
Mauritius,MUS,AFR,1304680,2024-08-12,FALSE,TRUE,FALSE,FALSE,1298915
Mayotte,MYT,EUR,,,,,,,316014
Mexico,MEX,AMR,132308000,2024-10-27,TRUE,TRUE,TRUE,TRUE,126705138
Micronesia (Federated States of),FSM,WPR,,,,,,,113131
Monaco,MCO,EUR,,,,,,,36686
Montenegro,MNE,EUR,,,,,,,627859
Montserrat,MSR,AMR,5000,2023-11-26,FALSE,TRUE,FALSE,FALSE,4417
Mozambique,MOZ,AFR,,,,,,,32077072
Myanmar,MMR,SEAR,,,,,,,53798084
Namibia,NAM,AFR,,,,,,,2530151
Nepal,NPL,SEAR,,,,,,,30034989
Netherlands (Kingdom of the),NLD,EUR,,,,,,,17501696
New Caledonia,NCL,WPR,,,,,,,287800
Nicaragua,NIC,AMR,6702000,2024-08-18,TRUE,TRUE,TRUE,TRUE,6850540
Niger,NER,AFR,,,,,,,25252722
Niue,NIU,WPR,,,,,,,1937
North Macedonia,MKD,EUR,,,,,,,2103330
Northern Mariana Islands (Commonwealth of the),MNP,WPR,,,,,,,49481
Norway,NOR,EUR,,,,,,,5403021
Pakistan,PAK,EMR,,,,,,,231402117
Palau,PLW,WPR,,,,,,,18024
Panama,PAN,AMR,4457000,2024-10-27,TRUE,TRUE,TRUE,TRUE,4351267
Paraguay,PRY,AMR,7554000,2024-10-27,TRUE,TRUE,FALSE,FALSE,6703799
Peru,PER,AMR,33359000,2024-10-27,TRUE,TRUE,TRUE,FALSE,33715471
Pitcairn Islands,PCN,WPR,,,,,,,
Poland,POL,EUR,,,,,,,38307726
Portugal,PRT,EUR,,,,,,,10290103
Puerto Rico,PRI,AMR,2828000,2024-10-27,TRUE,TRUE,TRUE,FALSE,3256028
Republic of Moldova,MDA,EUR,,,,,,,3061506
Réunion,REU,EUR,,2024-06-01,FALSE,TRUE,FALSE,FALSE,966129
Romania,ROU,EUR,,,,,,,19328560
Russian Federation,RUS,EUR,,,,,,,145102755
Rwanda,RWA,AFR,,,,,,,13461888
Saint Barthélemy,BLM,AMR,7000,2024-10-20,FALSE,TRUE,FALSE,FALSE,10861
Saint Kitts and Nevis,KNA,AMR,54000,2023-12-24,FALSE,TRUE,TRUE,FALSE,47606
Saint Lucia,LCA,AMR,167000,2024-10-27,FALSE,TRUE,FALSE,FALSE,179651
Saint Martin (French part),MAF,AMR,33000,2024-10-20,FALSE,TRUE,FALSE,FALSE,31948
Saint Vincent and the Grenadines,VCT,AMR,101000,2024-09-01,FALSE,TRUE,FALSE,FALSE,104332
Samoa,WSM,WPR,,,,,,,218764
San Marino,SMR,EUR,,,,,,,33745
Sao Tome and Principe,STP,AFR,,,,,,,223107
Saudi Arabia,SAU,EMR,20748491,2024-08-01,FALSE,FALSE,FALSE,FALSE,35950396
Senegal,SEN,AFR,,,,,,,16876720
Serbia,SRB,EUR,,,,,,,7296769
Seychelles,SYC,AFR,,,,,,,106471
Sierra Leone,SLE,AFR,,,,,,,8420641
Singapore,SGP,WPR,,,,,,,5941060
Sint Maarten (Dutch part),SXM,AMR,45000,2016-02-21,FALSE,TRUE,FALSE,FALSE,44042
Slovakia,SVK,EUR,,,,,,,5447622
Slovenia,SVN,EUR,,,,,,,2119410
Solomon Islands,SLB,WPR,,,,,,,707851
South Sudan,SSD,AFR,,,,,,,10748272
Spain,ESP,EUR,,,,,,,47486935
Sri Lanka,LKA,SEAR,,,,,,,21773441
Sudan,SDN,EMR,,,,,,,45657202
Suriname,SUR,AMR,592000,2024-05-12,FALSE,FALSE,TRUE,FALSE,612985
Sweden,SWE,EUR,,,,,,,10467097
Switzerland,CHE,EUR,,,,,,,8691406
Tajikistan,TJK,EUR,,,,,,,9750064
Thailand,THA,SEAR,,,,,,,71601103
Togo,TGO,AFR,,,,,,,8644829
Tokelau,TKL,WPR,,,,,,,1849
Tonga,TON,WPR,,,,,,,106017
Trinidad and Tobago,TTO,AMR,1403000,2024-10-13,FALSE,TRUE,TRUE,FALSE,1525663
Türkiye,TUR,EUR,,,,,,,84775404
Turkmenistan,TKM,EUR,,,,,,,6341855
Turks and Caicos Islands,TCA,AMR,57000,2024-09-01,FALSE,TRUE,TRUE,FALSE,45114
Tuvalu,TUV,WPR,,,,,,,11204
Uganda,UGA,AFR,,,,,,,45853778
Ukraine,UKR,EUR,,,,,,,43531422
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,,,,,,,67281039
United States of America,USA,AMR,332915000,2015-12-27,TRUE,FALSE,FALSE,FALSE,336997624
United States Virgin Islands,VIR,AMR,106000,,,,,,100091
Uruguay,URY,AMR,3485000,2024-05-26,TRUE,TRUE,FALSE,FALSE,3426260
Uzbekistan,UZB,EUR,,,,,,,34081449
Vanuatu,VUT,WPR,,,,,,,319137
Venezuela (Bolivarian Republic of),VEN,AMR,28705000,2023-05-21,TRUE,TRUE,TRUE,TRUE,28199867
Viet Nam,VNM,WPR,,,,,,,97468029
Wallis and Futuna,WLF,WPR,,,,,,,11627
Zambia,ZMB,AFR,,,,,,,19473125
Zimbabwe,ZWE,AFR,,,,,,,15993524
